publisher,identifier 1,identifier 2,filename 1,filename 2,title,date_text,date_single/start,date_end,date_qualifier,creator 1,creator 2,contributor,abstract,abstract 2,note,note_2,subject1,subject2 1,subject3,subject4,subject5,coverage,rights 1,internet_media_type,item_type,form,form_authority,relation2,collection,collection_identifier,source 2,relation,digital_origin
"University of Tennessee Libraries, Knoxville",0012_003589_000208_0001,0012_003589_000208_0002,gsmrc-post_11_01,gsmrc-post_11_02,Chimney Tops and Newfound Gap Highway as seen from the Loop Underpass; Great Smoky Mountains National Park,1943-08-09,1943-08-09,,,"Harry N. Martin, Asheville, N.C.",Unknown,,"Postcard with handwritten note sent from Jefferson City, Tenn. to Miss Virginia Bogart, Loudon, Tenn. on August 9, 1943 for a postage of 1 cent.",,,,Newfound Gap Highway/U.S. 441,Tunnels,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000210_0001,0012_003589_000210_0002,gsmrc-post_12_01,gsmrc-post_12_02,"""Laura Spelman Rockefeller"" Memorial, Great Smoky Mountains National Park",1944-04-24,1944-04-24,,,"Standard News Agency, Knoxville, Tenn.",Unknown,,"Postcard with handwritten note sent from Knoxville to Mrs. C.J. Bogart, Loudon, Tenn. on April 24, 1944 for a postage of 1 cent.  ","The following inscription appears on the plaque of this memorial: ""For the permanent enjoyment of the people, this park was given one half by the peoples and states of North Carolina and Tennessee and by the United States of America, and one half in memory of Laura Spelman Rockefeller by the Laura Spelman Rockefeller Memorial founded by her husband, John D. Rockefeller.""",,,Laura Spelman Rockefeller Memorial,Newfound Gap,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000211_0001,0012_003589_000211_0002,gsmrc-post_13_01,gsmrc-post_13_02,Looking Down Tennessee River Near Tapoco in Great Smoky Mountains National Park,1943-08-02,1943-08-02,,,"Asheville Post Card Co., Asheville, N.C.",Unknown,,"Postcard with handwritten note sent from Jefferson City, Tenn. to Miss Virginia Bogart, Loudon, Tenn. on August 2, 1943 for a postage of 1 cent.",,,,Little Tennessee River,,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000247_0001,0012_003589_000247_0002,gsmrc-post_14_01,gsmrc-post_14_02,"Looking Toward Gatlinburg From Elkmont Road--20; Great Smoky Mountains National Park, Tenn.--N.C.",1944-08-19,1944-08-19,,,Thompson Co.,Unknown,,"Postcard with handwritten note sent from Waldoboro, Maine to Flossie Jones, Jefferson, Maine on August 19, 1944 for a postage of 1 cent. ","From Gatlinburg, one can get a good view of the peaks of the Great Smokies.  The hard-wood forests of America originated in these, American's oldest mountains.  Here we find virgin hardwoods, flowers and shrubs.",,,Gatlinburg,,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000248_0001,0012_003589_000248_0002,gsmrc-post_15_01,gsmrc-post_15_02,"Newfound Gap Parking Area, Great Smoky Mountains National Park",Circa 1940s,1940,1949,approximate,"Werner News Agency, Knoxville, Tenn.",Unknown,"Thompsons, Inc.",Unused postcard.,"Newfound Gap, elevation 5045 feet, is where the road of the same name crosses the main chain of the Great Smokies.  There is ample room for parking hundreds of cars in this high gap.  At the right is seen the starting point of the impressive Skyway, highly scenic park road, that swings gracefully near the crest of the mountain and climbs gently to an elevation of 6311 feet, near the top of 6642 foot Clingmans Dome--highest peak in the park.  A glimpse of this peak is seen in the left background.",,,Newfound Gap Highway/U.S. 441,Automobiles,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000212_0001,0012_003589_000212_0002,gsmrc-post_16_01,gsmrc-post_16_02,"Parking Area at Newfound Gap, Alt. 5048 Ft. As Seen from Rockefeller Memorial; Great Smoky Mountains National Park",1943-06-29,1943-06-29,,,"Harry N. Martin, Asheville, N.C.",Unknown,,"Postcard with handwritten note sent from Jefferson City, Tenn. to Miss Virginia Bogart, Loudon, Tenn. On June 20, 1943 for a postage of 1 cent.  ",,,,Newfound Gap Highway/U.S. 441,Clingmans Dome,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000249_0001,0012_003589_000249_0002,gsmrc-post_17_01,gsmrc-post_17_02,"The Skyway to Clingman's Dome, Great Smoky Mountains National Park",Undated,1910,1955,inferred,"W. M. Cline Co, Chattanooga, Tennessee",Unknown,,Unused postcard.,"This is the highest highway in Eastern America. It travels along the main range of the Smokies, beginning at an elevation of 5045 feet at Newfound Gap and reaching 6311 feet at the parking area at Clingman's Dome. Breathtaking views are to be had from many vantage points and frequently black bear may be seen along the road.",Creation date inferred from archival collection dates.,,Clingmans Dome Road,,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000213_0001,0012_003589_000213_0002,gsmrc-post_18_01,gsmrc-post_18_02,Foot Bridge on the Trail to the Chimney Tops; Great Smoky Mountains National Park,1944-04-01,1944-04-01,,,"Standard News Agency, Knoxville, Tenn.",Unknown,,"Postcard with handwritten note sent from Knoxville to Mrs. C.J. Bogart, Loudon, Tenn. on April 4, 1944 for a postage of 1 cent. ","A beautiful view on Little Pigeon River, showing Foot Bridge on trail to the Chimney Tops.",,,Chimney Tops Trail,Bridges,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000214_0001,0012_003589_000214_0002,gsmrc-post_19_01,gsmrc-post_19_02,Chimney Tops from Newfound Gap Highway. Great Smoky Mountains National Park,1944-03-08,1944-03-08,,,"Standard News Agency, Knoxville, Tenn.",Unknown,"Carlos C. Campbell, Knoxville, Tenn.","Postcard with handwritten note sent from Knoxville, Tenn. to Mrs. C.J. Bogart, Loudon, Tenn. on March 8, 1944 for a postage of 1 cent.  ","The Chimney Tops rise like cathedral spires above the spectacular Tennessee side of the Newfound Gap Highway and the Little Pigeon Gorge through which that highway runs. This rugged, twin-topped peak is a popular destination for hikers who really like to rough it.",,,Newfound Gap Highway/U.S. 441,Automobiles,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000215_0001,0012_003589_000215_0002,gsmrc-post_20_01,gsmrc-post_20_02,"Arch Rock, Great Smoky Mountains National Park",1944-03-14,1944-03-14,,,"Standard News Agency, Knoxville, Tenn.",Unknown,"Thompsons, Inc.","Postcard with handwritten note sent from Knoxville to Mrs. C.J. Bogart, Loudon, Tenn. on March 13, 1944 for a postage of 1 cent. ","Arch Rock presents quite an unusual and spectacular formation, it looks as though this rock had toppled off from above and landed nearly upside down in the Cavern below. The Alum Cave trail to Le Conte passes through the opening under the rock.",,,Arch Rock,Hiking,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000216_0001,0012_003589_000216_0002,gsmrc-post_21_01,gsmrc-post_21_02,"Mt. LeConte (from Skyway), Great Smoky Mountains National Park",1944-03-30,1944-03-30,,,"Standard News Agency, Knoxville, Tenn.",Unknown,"Thompsons, Knoxville","Postcard with handwritten note sent from Knoxville to Mrs. C.J. Bogart, Loudon, Tenn. on March 30, 1944 for a postage of 1 cent.  ","Just before leaving Newfound Gap on the Skyway to Clingman's Dome we get one of the best views of the south side of Mt. Le Conte. Anakeesta Ridge, with its heavy growth of spruce, is seen at the right.",,,Mount Le Conte,Clingmans Dome Road,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000217_0001,0012_003589_000217_0002,gsmrc-post_22_01,gsmrc-post_22_02,"Lower Tunnel, The Great Smoky Mountains National Park",1941-11-03,1941-11-03,,,"Standard News Agency, Knoxville, Tenn.",Unknown,"Thompsons, Knoxville","Postcard with handwritten note sent from Knoxville to Miss Frances Bogart, Hiwassee College in Madisonville, Tenn. on November 3, 1941. ",Modern highways are now built through the picturesque Smokies. This is the lower of two wide tunnels constructed to eliminate sharp turns in the roadway for safe motoring.,,,Tunnels,Automobiles,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000218_0001,0012_003589_000218_0002,gsmrc-post_23_01,gsmrc-post_23_02,"The Lower Tunnel with the Chimney Tops, Great Smoky Mountains National Park",1945-01-29,1945-01-29,,,"Standard News Agency, Knoxville, Tenn.",Unknown,"Thompsons, Knoxville","Postcard with handwritten note sent from Knoxville to Miss Norene Bogart,  Loudon, Tenn. on January 29, 1945 for a postage of 1 cent. ","There are many spectacular views and engineering features along the Tennessee side of the Newfound Gap Highway. Here we see the upper end of the lower tunnel, with the Chimney Tops rising majestically in the left background.",,,Chimney Tops,Tunnels,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000219_0001,0012_003589_000219_0002,gsmrc-post_24_01,gsmrc-post_24_02,"Old Grist Mill, The Great Smoky Mountains National Park",Circa 1940s,1940,1949,approximate,"Standard News Agency, Knoxville, Tenn.",Unknown,"Thompsons, Knoxville",Unused postcard.,Reverse has remains of a black paper scrapbook page.,,,Gristmills,Water power,Waterwheel,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000220_0001,0012_003589_000220_0002,gsmrc-post_25_01,gsmrc-post_25_02,Rainbow Falls Great Smoky Mountains National Park,1943-07-01,1943-07-01,,,"Asheville Post Card Co., Asheville, N.C.",Unknown,Jim Thompson Co.,"Postcard with handwritten note sent from Knoxville to Miss Norene Bogart, Loudon, Tenn. on July 1, 1943 for a postage of 1 cent.  ",Postmark: Buy War Savings Bonds and Stamps,,,Waterfalls,Rainbow Falls,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000221_0001,0012_003589_000221_0002,gsmrc-post_26_01,gsmrc-post_26_02,"Little Pigeon River, Great Smoky Mountains National Park",1944-03-09,1944-03-09,,,"Standard News Agency, Knoxville, Tenn.",Unknown,,"Postcard with handwritten note sent from Knoxville, Tenn. to Mrs. C.J. Bogart, Loudon, Tenn. on March 9, 1944 for a postage of 1 cent.  The front image also includes a ""time savers easy correspondence card"" where the sender is meant to ""check items expressing your sentiments.""","The glimpse of the head water of Little Pigeon River is typical of the park streams.  Rainbow trout and black bass abound in such streams, as seen here.",,,Little Pigeon River,,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000250_0001,0012_003589_000250_0002,gsmrc-post_27_01,gsmrc-post_27_02,"Tunnel and Chimney Tops, Great Smoky Mountains National Park",Circa 1940s,1940,1949,approximate,"Standard News Agency, Knoxville, Tenn.",Unknown,,Unused postcard.,"There are many spectacular views and engineering features along the Tennessee side of the Newfound Gap Highway. Here we see the upper end of the lower tunnel, with the Chimney Tops rising majestically in the left background.",,,Tunnels,Automobiles,,Chimney Tops,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000272_0001,0012_003589_000272_0002,gsmrc-post_28_01,gsmrc-post_28_02,A Winding Roadway in the Heart of the Mountains,Undated,1910,1955,inferred,"Asheville Post Card Co., Asheville, N.C.",Unknown,,Unused postcard.,,Creation date inferred from archival collection dates.,,Automobiles,Streams,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000273_0001,0012_003589_000273_0002,gsmrc-post_29_01,gsmrc-post_29_02,Little River in the Great Smoky Mountains National Park,Undated,1910,1955,inferred,"Asheville Post Card Co., Asheville, N.C.",Unknown,,Unused postcard.,,Creation date inferred from archival collection dates.,,Little River,Roads,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000274_0001,0012_003589_000274_0002,gsmrc-post_30_01,gsmrc-post_30_02,"Roadway Scene. ""In the Heart of the Mountains.""",Undated,1910,1955,inferred,"Asheville Post Card Co., Asheville, N.C.",Unknown,,Unused postcard.,,Creation date inferred from archival collection dates.,,Automobiles,Roads,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000275_0001,0012_003589_000275_0002,gsmrc-post_31_01,gsmrc-post_31_02,"Tennessee River Bend, near the Great Smoky Mountains National Park",Undated,1910,1955,inferred,"Asheville Post Card Co., Asheville, N.C.",Unknown,,Unused postcard.,,Creation date inferred from archival collection dates.,,Streams,Scenery and landscapes,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000276_0001,0012_003589_000276_0002,gsmrc-post_32_01,gsmrc-post_32_02,Little Bald Mountain. The Great Smoky Mountains National Park.,Undated,1910,1955,inferred,"Asheville Post Card Co., Asheville, N.C.",Unknown,Thompson Bros.,Unused postcard.,,Creation date inferred from archival collection dates.,,Little Bald,Trails,,Mount Squires,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000222_0000,,gsmrc-post_33_01,,Souvenir of Great Smoky Mountains National Park,Undated,1910,1955,inferred,"Standard News Agency, Knoxville, Tenn.",,,Cover of a souvenir folder of postcard-sized images that fold out in accordion style.  Front image shows Cherokee women with children.,,Creation date inferred from archival collection dates.,,,Eastern Band of the Cherokee,,,Souvenir postcard folders,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",Souvenir of Great Smoky Mountains National Park,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000223_0000,,gsmrc-post_33_02,,Mountain Laurel,Undated,1910,1955,inferred,"Standard News Agency, Knoxville, Tenn.",,,Back cover of a souvenir folder with an image showing a river with mountain laurel lining the banks.  The back cover is made of two parts and unfolds like an envelope.,,Creation date inferred from archival collection dates.,,Flowering plants,,,,Souvenir postcard folders,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",Souvenir of Great Smoky Mountains National Park,reformatted digital
