identifier 1,abstract,abstract 2,collection,collection_identifier,date_range_end,date_qualifier,date_single/start,date_text,digital_origin,filename 1,filename 2,form,identifier 2,internet_media_type,item_type,language,language_of_cataloging,name 1,name_role 1,name 2,name_role 2,name 3,name_role 3,note,note_2,place_of_origin,repository,series_title,title2,title2_part,project_url,project,rights,subject_topical 1 1,subject_topical 1 2,subject_topical 2 1,subject_topical 2 2,subject_topical 3,subject_name 1,subject_name 2,subject_geographic,subject_geographic 2 1,subject_geographic 2 2,subject_geographic 3 1,subject_geographic 3 2,subject_geographic 4 1,subject_geographic 4 2,subject_geographic 5 1,subject_geographic 5 2,genre,title,title_intial_article
0012_003589_000208_0001,"Postcard with handwritten note sent from Jefferson City, Tenn. to Miss Virginia Bogart, Loudon, Tenn. on August 9, 1943 for a postage of 1 cent.",,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,,,1943-08-09,1943-08-09,reformatted digital,gsmrc-post_11_01.jp2,gsmrc-post_11_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000208_0002,image/jp2,still image,eng,eng,"Martin, Harry N.",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Asheville (N.C.) | http://id.loc.gov/authorities/names/n79063971,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Tunnels | http://id.loc.gov/authorities/subjects/sh85138674,Tunnels | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",Newfound Gap Road1,Newfound Gap Road/U.S. 44 | DOTS,U.S. 441,,,,,,,Chimney Tops and Newfound Gap Highway as seen from the Loop Underpass; Great Smoky Mountains National Park,
0012_003589_000210_0001,"Postcard with handwritten note sent from Knoxville to Mrs. C.J. Bogart, Loudon, Tenn. on April 24, 1944 for a postage of 1 cent.","The following inscription appears on the plaque of this memorial: ""For the permanent enjoyment of the people, this park was given one half by the peoples and states of North Carolina and Tennessee and by the United States of America, and one half in memory of Laura Spelman Rockefeller by the Laura Spelman Rockefeller Memorial founded by her husband, John D. Rockefeller.""","Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,,,1944-04-24,1944-04-24,reformatted digital,gsmrc-post_12_01.jp2,gsmrc-post_12_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000210_0002,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,Laura Spelman Rockefeller Memorial | http://id.loc.gov/authorities/names/n89601522,Laura Spelman Rockefeller Memorial | DOTS,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Newfound Gap | Coordinates: 35.61121N, 83.42488W",Newfound Gap | DOTS,,,,,,,,"""Laura Spelman Rockefeller"" Memorial, Great Smoky Mountains National Park",
0012_003589_000211_0001,"Postcard with handwritten note sent from Jefferson City, Tenn. to Miss Virginia Bogart, Loudon, Tenn. on August 2, 1943 for a postage of 1 cent.",,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,,,1943-08-02,1943-08-02,reformatted digital,gsmrc-post_13_01.jp2,gsmrc-post_13_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000211_0002,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",Little Tennessee River (Ga.-Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh94001975 | Coordinates: ,Little Tennessee River | DOTS,,,,,,,,Looking Down Tennessee River Near Tapoco in Great Smoky Mountains National Park,
0012_003589_000247_0001,"Postcard with handwritten note sent from Waldoboro, Maine to Flossie Jones, Jefferson, Maine on August 19, 1944 for a postage of 1 cent.","From Gatlinburg, one can get a good view of the peaks of the Great Smokies.  The hard-wood forests of America originated in these, American's oldest mountains.  Here we find virgin hardwoods, flowers and shrubs.","Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,,,1944-08-19,1944-08-19,reformatted digital,gsmrc-post_14_01.jp2,gsmrc-post_14_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000247_0002,image/jp2,still image,eng,eng,Thompson Co.,Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Gatlinburg (Tenn.) | URI: http://id.loc.gov/authorities/names/n80040520 | Gatlinburg | Coordinates: 35.71453N, 83.51189W",,,,,,,,,"Looking Toward Gatlinburg From Elkmont Road--20; Great Smoky Mountains National Park, Tenn.--N.C.",
0012_003589_000248_0001,,"Newfound Gap, elevation 5045 feet, is where the road of the same name crosses the main chain of the Great Smokies.  There is ample room for parking hundreds of cars in this high gap.  At the right is seen the starting point of the impressive Skyway, highly scenic park road, that swings gracefully near the crest of the mountain and climbs gently to an elevation of 6311 feet, near the top of 6642 foot Clingmans Dome--highest peak in the park.  A glimpse of this peak is seen in the left background.","Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1949,approximate,1940,Circa 1940s,reformatted digital,gsmrc-post_15_01.jp2,gsmrc-post_15_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000248_0002,image/jp2,still image,eng,eng,"Werner News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,"Thompsons, Inc.",Contributor | http://id.loc.gov/vocabulary/relators/ctb,,Unused postcard.,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Automobiles | http://id.loc.gov/authorities/subjects/sh85010201,Automobiles | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",Newfound Gap Road1,Newfound Gap Road/U.S. 44 | DOTS,U.S. 441,,,,,,,"Newfound Gap Parking Area, Great Smoky Mountains National Park",
0012_003589_000212_0001,"Postcard with handwritten note sent from Jefferson City, Tenn. to Miss Virginia Bogart, Loudon, Tenn. On June 20, 1943 for a postage of 1 cent.",,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,,,1943-06-29,1943-06-29,reformatted digital,gsmrc-post_16_01.jp2,gsmrc-post_16_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000212_0002,image/jp2,still image,eng,eng,"Martin, Harry N.",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Asheville (N.C.) | http://id.loc.gov/authorities/names/n79063971,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Clingmans Dome (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh2013001541 | Coordinates: 35.56287N, 83.4985W",Clingmans Dome | DOTS,Newfound Gap Road,Newfound Gap Road/U.S. 441 | DOTS,,,,,,"Parking Area at Newfound Gap, Alt. 5048 Ft. As Seen from Rockefeller Memorial; Great Smoky Mountains National Park",
0012_003589_000249_0001,,"This is the highest highway in Eastern America. It travels along the main range of the Smokies, beginning at an elevation of 5045 feet at Newfound Gap and reaching 6311 feet at the parking area at Clingman's Dome. Breathtaking views are to be had from many vantage points and frequently black bear may be seen along the road.","Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_17_01.jp2,gsmrc-post_17_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000249_0002,image/jp2,still image,eng,eng,W.M. Cline Company | URI: http://id.loc.gov/authorities/names/no2007054318,Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,Creation date inferred from archival collection dates.,Unused postcard.,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Clingmans Dome Road | Coordinates: 35.56529N, 83.49296W",Clingmans Dome Road | DOTS,,,,,,,," Skyway to Clingman's Dome, Great Smoky Mountains National Park",The 
0012_003589_000213_0001,"Postcard with handwritten note sent from Knoxville to Mrs. C.J. Bogart, Loudon, Tenn. on April 4, 1944 for a postage of 1 cent.","A beautiful view on Little Pigeon River, showing Foot Bridge on trail to the Chimney Tops.","Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,,,1944-04-01,1944-04-01,reformatted digital,gsmrc-post_18_01.jp2,gsmrc-post_18_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000213_0002,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Bridges | http://id.loc.gov/authorities/subjects/sh85016829,Bridges | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Chimney Tops Trail | Coordinates: 35.6346N, 83.47017W",Chimney Tops Trail | DOTS,,,,,,,,Foot Bridge on the Trail to the Chimney Tops; Great Smoky Mountains National Park,
0012_003589_000214_0001,"Postcard with handwritten note sent from Knoxville, Tenn. to Mrs. C.J. Bogart, Loudon, Tenn. on March 8, 1944 for a postage of 1 cent.","The Chimney Tops rise like cathedral spires above the spectacular Tennessee side of the Newfound Gap Highway and the Little Pigeon Gorge through which that highway runs. This rugged, twin-topped peak is a popular destination for hikers who really like to rough it.","Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,,,1944-03-08,1944-03-08,reformatted digital,gsmrc-post_19_01.jp2,gsmrc-post_19_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000214_0002,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,"Campbell, Carlos C. (Carlos Clinton), 1892- | URI: http://id.loc.gov/authorities/names/n85812680",Contributor | http://id.loc.gov/vocabulary/relators/ctb,,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Automobiles | http://id.loc.gov/authorities/subjects/sh85010201,Automobiles | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",Newfound Gap Road1,Newfound Gap Road/U.S. 44 | DOTS,U.S. 441,,,,,,,Chimney Tops from Newfound Gap Highway. Great Smoky Mountains National Park,
0012_003589_000215_0001,"Postcard with handwritten note sent from Knoxville to Mrs. C.J. Bogart, Loudon, Tenn. on March 13, 1944 for a postage of 1 cent.","Arch Rock presents quite an unusual and spectacular formation, it looks as though this rock had toppled off from above and landed nearly upside down in the Cavern below. The Alum Cave trail to Le Conte passes through the opening under the rock.","Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,,,1944-03-14,1944-03-14,reformatted digital,gsmrc-post_20_01.jp2,gsmrc-post_20_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000215_0002,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,"Thompsons, Inc.",Contributor | http://id.loc.gov/vocabulary/relators/ctb,,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Hiking | http://id.loc.gov/authorities/subjects/sh85060793,Hiking | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Arch Rock | Coordinates: 35.63593N, 83.43822W",Arch Rock | DOTS,,,,,,,,"Arch Rock, Great Smoky Mountains National Park",
0012_003589_000216_0001,"Postcard with handwritten note sent from Knoxville to Mrs. C.J. Bogart, Loudon, Tenn. on March 30, 1944 for a postage of 1 cent.","Just before leaving Newfound Gap on the Skyway to Clingman's Dome we get one of the best views of the south side of Mt. Le Conte. Anakeesta Ridge, with its heavy growth of spruce, is seen at the right.","Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,,,1944-03-30,1944-03-30,reformatted digital,gsmrc-post_21_01.jp2,gsmrc-post_21_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000216_0002,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,"Thompsons (Knoxville, Tenn.)",Contributor | http://id.loc.gov/vocabulary/relators/ctb,,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Clingmans Dome Road | Coordinates: 35.56529N, 83.49296W",Clingmans Dome Road | DOTS,"LeConte, Mount (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh86006260 | Coordinates: 35.65426N, 83.43683W",Mount Le Conte | DOTS,,,,,,"Mt. LeConte (from Skyway), Great Smoky Mountains National Park",
